treated,donor_code,weight
22,1,7.21029444783697e-8
22,2,6.908384076716932e-8
22,3,1.2212750779979308e-7
22,4,1.9451642225922264e-7
22,5,2.3765859252900087e-7
22,6,1.277769282563969e-7
22,7,1.095661861777301e-7
22,8,9.984211810659823e-8
22,9,5.9041693548543756e-8
22,10,1.1536304527370205e-7
22,12,2.0976475346038488e-7
22,13,2.7409026842110614e-7
22,14,2.6452599020688463e-7
22,15,1.866217798831432e-7
22,16,1.7454950005239595e-7
22,17,3.294667889990315e-7
22,18,0.22330948601405032
22,19,0.1925375099857791
22,20,1.1558944307796942e-4
22,21,1.076789692532477e-7
22,24,0.2824419879668121
22,25,0.060896548288622565
22,26,2.887413403526731e-7
22,27,0.0690690163547365
22,28,3.4679817001323715e-7
22,29,0.17162607581002243
22,30,2.2441854834087302e-7
22,31,1.72403122349952e-7
1,2,1.1929161200746694e-7
1,3,1.1045726816417408e-7
1,4,3.230948462573774e-7
1,5,9.173583946449126e-8
1,6,1.0540048224098059e-7
1,7,1.3035810701288191e-7
1,8,5.4372691590740257e-8
1,9,0.8675632852320536
1,10,1.0360748698308634e-7
1,12,1.1516113536237205e-7
1,13,5.2304042964015354e-8
1,14,1.2038358565456822e-7
1,15,1.062300240886763e-7
1,16,9.209618989940751e-8
1,17,1.2432306378497014e-7
1,18,6.965330380727752e-8
1,19,7.130726733394513e-8
1,20,8.004865022888403e-10
1,21,0.09435807775276076
1,22,2.3311970979761256e-7
1,24,7.688384000856339e-7
1,25,0.005248080170592053
1,26,0.03208539743639857
1,27,1.4090410130908587e-7
1,28,2.6535298555158707e-7
1,29,1.234666192187592e-6
1,30,7.404988223340858e-4
1,31,2.271268268515413e-7
2,1,1.6814202161628338e-8
2,3,3.6584027995159075e-7
2,4,2.994930709842485e-5
2,5,1.1038471809289444e-6
2,6,0.4672720317505537
2,7,8.257699567493655e-8
2,8,3.4743523458703176e-4
2,9,0.36184646428156925
2,10,0.1702400672438019
2,12,4.184088550534729e-7
2,13,1.4613176598847434e-6
2,14,1.5675902722808358e-7
2,15,2.3436321715979494e-4
2,16,1.288406987189479e-6
2,17,7.261446014144126e-7
2,18,4.715131009852189e-7
2,19,3.0568571370829145e-6
2,20,7.290290998505531e-7
2,21,3.7371903364241205e-8
2,22,1.6472326638547821e-6
2,24,6.936215548743706e-7
2,25,1.2559561184681718e-6
2,26,5.280959757366277e-7
2,27,9.329771170604132e-6
2,28,2.064106364373119e-6
2,29,1.8548109519772008e-6
2,30,4.203927948744795e-7
2,31,1.9800905861095818e-6
3,1,0.001665280300929751
3,2,2.8310099572114735e-4
3,4,0.003977786888358604
3,5,4.787889987104342e-4
3,6,0.6193613744158756
3,7,0.0028477545453476517
3,8,1.3591668657162231e-6
3,9,2.976501943464903e-4
3,10,0.040828205485081016
3,12,6.361735047734477e-4
3,13,6.203772451520771e-4
3,14,0.20250932678061195
3,15,7.554635807386356e-4
3,16,0.11352110687449546
3,17,0.0068389040207816176
3,18,3.543098945761015e-4
3,19,3.852803154509436e-4
3,20,2.574698522112323e-4
3,21,4.3665331100624003e-4
3,22,3.3398273524868553e-4
3,24,2.699148335079633e-4
3,25,1.691218299679345e-4
3,26,7.137914141082196e-5
3,27,2.660597401444448e-4
3,28,3.4819950363414957e-4
3,29,3.1495956030620125e-4
3,30,0.0019432781086276996
3,31,2.2673847561221192e-4
4,1,9.061953490805273e-8
4,2,1.153128015435882e-8
4,3,1.3892080587480423e-7
4,5,3.278412945091199e-7
4,6,1.9710516866160589e-7
4,7,1.6335110936093725e-7
4,8,0.016424194766630776
4,9,1.562415336978646e-7
4,10,8.098276831650054e-9
4,12,2.112313351459976e-7
4,13,3.799814581208674e-7
4,14,8.080528315479944e-8
4,15,0.12761123427783916
4,16,0.42474039733175195
4,17,1.666059981120474e-7
4,18,3.062324231718072e-7
4,19,7.944073342247603e-7
4,20,3.315888156900338e-7
4,21,6.35839789484243e-8
4,22,1.0394291099999488e-6
4,24,1.0723912500118596e-6
4,25,4.521014043218255e-6
4,26,3.2651307640182287e-7
4,27,0.002149359695293699
4,28,7.369907160565349e-8
4,29,0.002092462417209808
4,30,0.42697003886616763
4,31,1.8514567604725773e-6
5,1,1.3301802607410288e-6
5,2,2.9653464805460324e-6
5,3,4.117789392063206e-6
5,4,3.5345430766273124e-6
5,6,1.2776755441514832e-6
5,7,3.3453332694087902e-6
5,8,0.08291128173301357
5,9,1.4608572200635174e-6
5,10,3.765390808288158e-6
5,12,1.0952478756119655e-5
5,13,6.238132768274392e-6
5,14,4.823843719908762e-6
5,15,0.11953615674254017
5,16,0.3570234295803716
5,17,4.470991817536671e-4
5,18,1.3983728761453383e-5
5,19,0.02381145554522355
5,20,8.567218967951468e-5
5,21,0.18278591553690246
5,22,7.035729181787808e-5
5,24,9.734943133855043e-6
5,25,4.78177716902806e-6
5,26,8.119995098355179e-6
5,27,1.1683894235096416e-5
5,28,8.317866012145644e-4
5,29,0.2313410519153279
5,30,1.2349287675954062e-6
5,31,0.001062442864636897
6,1,8.083403674044777e-8
6,2,0.2246253492317059
6,3,0.4334830418602985
6,4,7.256690934079914e-4
6,5,1.4595411937073162e-5
6,7,0.008031781598215066
6,8,0.2971913308684698
6,9,8.225677091186202e-8
6,10,3.944724448882856e-6
6,12,6.755506837643468e-6
6,13,7.612746334463843e-7
6,14,0.031427931662292505
6,15,3.6046834774984353e-6
6,16,1.359113392751497e-4
6,17,0.00430783027376359
6,18,2.0689352799212538e-6
6,19,3.6487515157935344e-7
6,20,1.7649389856788623e-6
6,21,7.243239355425222e-8
6,22,2.116557523064802e-6
6,24,2.285623361900546e-6
6,25,8.122173347964863e-7
6,26,4.61966839401035e-7
6,27,2.5429211552447913e-6
6,28,6.393520086651254e-6
6,29,3.677456630718479e-6
6,30,1.634542291183811e-5
6,31,2.4225134352434024e-6
7,1,0.012522137465892647
7,2,5.971015818804614e-6
7,3,2.356265635572257e-6
7,4,1.6813645555393067e-6
7,5,4.899486866695012e-6
7,6,4.879022840212745e-6
7,8,0.42930066695699276
7,9,0.0024064263062103853
7,10,2.452886191354846e-6
7,12,2.5596052906579417e-6
7,13,1.0753319489496772e-6
7,14,0.40294163287421775
7,15,3.097556356633155e-6
7,16,8.358407350826685e-7
7,17,2.257368616747507e-6
7,18,1.7974291938271762e-6
7,19,8.754951976610692e-7
7,20,1.3705743896022288e-6
7,21,0.12864051294974405
7,22,2.7129491711583753e-6
7,24,6.63643095814479e-6
7,25,9.335794401167912e-7
7,26,6.146434014409757e-7
7,27,1.9466889326205444e-6
