d_within,d_between,d_total
-0.06213735614419454,-0.033186925144071226,-0.09532428128826577
-0.061553975141041245,-0.042427661818955784,-0.10398163695999703
-0.057351492716287686,-0.029449343583400553,-0.08680083629968824
-0.05892048923098235,-0.03419288891720014,-0.09311337814818249
-0.06197864231343798,-0.030076008664309584,-0.09205465097774757
-0.06102864850971125,-0.033685043612780526,-0.09471369212249178
-0.06289314123188142,-0.03908719518453441,-0.10198033641641582
-0.06073338315849236,-0.031611124076075865,-0.09234450723456822
-0.06234610349506174,-0.031197981155248817,-0.09354408465031055
-0.05552621306873279,-0.04519741002123333,-0.10072362308996613
-0.05675540261312746,-0.03532789359914354,-0.09208329621227099
-0.06078387604454558,-0.024560082407319092,-0.08534395845186467
-0.06232211106550088,-0.03589703138599305,-0.09821914245149395
-0.060297127724458596,-0.03925202102211456,-0.09954914874657317
-0.055378136947131,-0.034018210880586826,-0.08939634782771783
-0.05696377501271758,-0.04129284102980837,-0.09825661604252595
-0.06678016061466163,-0.024766598036138645,-0.09154675865080028
-0.06275568469331846,-0.039680970384374736,-0.1024366550776932
-0.05737623122384805,-0.02900530421464817,-0.08638153543849621
-0.06086485297354336,-0.02560923414440071,-0.08647408711794406
-0.06344693910146328,-0.04170111770750979,-0.10514805680897307
-0.06355589031849382,-0.03798776087923063,-0.10154365119772443
-0.06344755467553445,-0.03439558346519565,-0.0978431381407301
-0.060085186663517254,-0.028886775196349544,-0.08897196185986679
-0.06187671995362099,-0.030232851258331642,-0.09210957121195264
-0.06079408157163802,-0.03125286584145855,-0.09204694741309656
-0.060903560025410836,-0.0408312159598527,-0.10173477598526354
-0.058401874729831944,-0.030917419111237368,-0.0893192938410693
-0.06289521196033124,-0.036222173088839786,-0.09911738504917102
-0.06507394452540648,-0.030507548506081894,-0.09558149303148836
-0.06412520426152434,-0.03894608250585317,-0.1030712867673775
-0.05822663853083594,-0.036481013459257014,-0.09470765199009297
-0.060135727892228916,-0.032723998494868844,-0.09285972638709775
-0.06390470276490788,-0.0386793081422997,-0.10258401090720759
-0.05972332494322322,-0.03445863122338308,-0.09418195616660631
-0.0643571267401056,-0.031107410504256687,-0.09546453724436228
-0.06204538282250334,-0.03200438293932993,-0.09404976576183327
-0.055541740121517705,-0.036847017195100584,-0.0923887573166183
-0.058278364824677985,-0.03329157428318863,-0.09156993910786661
-0.05728394948918632,-0.0353919416334001,-0.09267589112258641
-0.05457730324310439,-0.045270126350219105,-0.09984742959332349
-0.06230053148637415,-0.04183515094777088,-0.10413568243414503
-0.06417478563415058,-0.03478847919698602,-0.09896326483113661
-0.05979025965861495,-0.033690029456791504,-0.09348028911540646
-0.05965227630870423,-0.03703823849116249,-0.0966905147998667
-0.05954005764270134,-0.029343556708952293,-0.08888361435165362
-0.06541546024663356,-0.0296808453650684,-0.09509630561170196
-0.0629370681299953,-0.032537197259697365,-0.09547426538969266
-0.06865603443620744,-0.028529187627359807,-0.09718522206356724
-0.06290010447298693,-0.03414067650451742,-0.09704078097750433
-0.060239684589753005,-0.0333898836703936,-0.0936295682601466
-0.06375846206034269,-0.03420109512255971,-0.0979595571829024
-0.06294495723995827,-0.04003423897134907,-0.10297919621130736
-0.06261195520216725,-0.03577778770541304,-0.09838974290758029
-0.06943827969269842,-0.023756993565703877,-0.09319527325840232
-0.06331031753974967,-0.02717539366441212,-0.0904857112041618
-0.05894150592758681,-0.0330679354001391,-0.0920094413277259
-0.06337807235526191,-0.03863104884091976,-0.10200912119618169
-0.06291181653988187,-0.03131488389723884,-0.0942267004371207
-0.057239852119913504,-0.039519862024818296,-0.09675971414473178
-0.06077049875369418,-0.03839648362415633,-0.09916698237785052
-0.0657033242498691,-0.03880484944362485,-0.10450817369349395
-0.06576907890386617,-0.03115584021904833,-0.0969249191229145
-0.05899105926695414,-0.03974583488994664,-0.09873689415690078
-0.0603618540914325,-0.03938404502744158,-0.09974589911887408
-0.06266997148688844,-0.035846459922008515,-0.09851643140889693
-0.06263159016008667,-0.030554959605736336,-0.09318654976582301
-0.05988836310219631,-0.03940640572605637,-0.09929476882825267
-0.06429609943629758,-0.034658158793725184,-0.09895425823002277
-0.06926189343089864,-0.029863205746041493,-0.09912509917694012
-0.058343975370197,-0.031697371991776205,-0.09004134736197322
-0.07232127721961376,-0.02276769629299662,-0.09508897351261036
-0.05661488114933686,-0.03822195321881094,-0.0948368343681478
-0.06482480557988353,-0.034427134035609125,-0.09925193961549267
-0.05607682748644088,-0.039117914794691455,-0.09519474228113232
-0.06322065614281792,-0.026404769407938816,-0.08962542555075675
-0.06830122074095019,-0.03241943248881535,-0.10072065322976555
-0.062224987572807484,-0.032212356727610976,-0.09443734430041847
-0.0637394318559851,-0.03319523166394818,-0.09693466351993328
-0.06463484038822845,-0.02875346056322359,-0.09338830095145202
-0.05869614360585584,-0.03618280467095651,-0.09487894827681234
-0.06936291204986991,-0.02144821599168297,-0.09081112804155288
-0.06202966931195776,-0.04561741641189913,-0.1076470857238569
-0.06186665191007943,-0.02676049946600205,-0.08862715137608149
-0.05808677325741019,-0.039007633391520365,-0.09709440664893057
-0.06459397685816351,-0.03202060382127176,-0.09661458067943526
-0.05932545205411719,-0.03826431975042039,-0.09758977180453758
-0.060324408025785516,-0.03563715160659647,-0.09596155963238198
-0.0604470527081674,-0.035414268791217646,-0.09586132149938506
-0.061182017904833116,-0.038138234784879974,-0.09932025268971308
-0.06037410173535593,-0.038014472335238775,-0.0983885740705947
-0.06214739523209072,-0.03587440946279319,-0.09802180469488392
-0.06196083387075495,-0.04824453840162694,-0.11020537227238189
-0.06062925837652291,-0.030984932862518022,-0.09161419123904094
-0.0621814706148915,-0.0344404236839964,-0.0966218942988879
-0.064085914967985,-0.027282758156874753,-0.09136867312485975
-0.06487092531300193,-0.02879670014853853,-0.09366762546154048
-0.061999255983673146,-0.03048892620865175,-0.0924881821923249
-0.06033245414921629,-0.03383464128233164,-0.09416709543154793
-0.06533457693237477,-0.02744861672788773,-0.09278319366026251
-0.06447341616852055,-0.034747004405506085,-0.09922042057402665
-0.064550586692175,-0.03141348340659507,-0.09596407009877009
-0.06193393454571853,-0.04171201434363822,-0.10364594888935677
-0.06346737076525116,-0.03982474334933335,-0.1032921141145845
-0.06203874591249573,-0.033922067055685456,-0.09596081296818121
-0.06892308733190647,-0.023611664146091893,-0.09253475147799836
-0.06376541779139361,-0.03702489173001197,-0.1007903095214056
-0.05990100709461986,-0.036408950109185746,-0.09630995720380561
-0.06014265729069494,-0.03931258803891464,-0.09945524532960956
-0.0598875874626387,-0.03128963105102664,-0.09117721851366534
-0.0663628924322081,-0.0255788403965758,-0.0919417328287839
-0.06264783338296792,-0.034069182182792784,-0.09671701556576072
-0.06443113780688253,-0.03377833313658151,-0.09820947094346406
-0.06467890834445275,-0.02825284211951926,-0.09293175046397202
-0.0610994906248489,-0.03329027532524166,-0.09438976595009056
-0.06509096615312569,-0.030373586605441896,-0.09546455275856758
-0.06181629783374946,-0.030520266032793442,-0.0923365638665429
-0.057579519049921785,-0.031161776230370586,-0.08874129528029237
-0.06314886280834837,-0.02832129737638484,-0.09147016018473322
-0.06586047307922126,-0.02466332307501197,-0.09052379615423323
-0.06174028734370737,-0.030261514154232033,-0.0920018014979394
-0.06321021670031168,-0.04125774789315271,-0.10446796459346439
-0.06258051227156705,-0.03332764198735606,-0.09590815425892311
-0.05678460459823146,-0.03119245121162234,-0.0879770558098538
-0.06067408330451816,-0.038167464351528714,-0.09884154765604686
