event_time,estimate,se,ci_lo,ci_hi,sig
-4,0.0258,0.0528,-0.0777,0.1293,
-3,-0.451,0.191,-0.8255,-0.0766,*
-2,-0.0258,0.0944,-0.2109,0.1592,
-1,0.0053,0.0554,-0.1034,0.1139,
0,-0.0245,0.0944,-0.2096,0.1606,
1,-0.0765,0.1028,-0.278,0.1249,
2,-0.078,0.0943,-0.263,0.1069,
3,-0.0964,0.0942,-0.281,0.0882,
4,-0.1264,0.0962,-0.315,0.0623,
5,-0.1548,0.0967,-0.3443,0.0347,
6,-0.171,0.0953,-0.3578,0.0158,
7,-0.1887,0.109,-0.4024,0.025,
8,-0.1733,0.1005,-0.3702,0.0235,
9,-0.1816,0.1067,-0.3908,0.0275,
10,-0.1918,0.1348,-0.456,0.0723,
