rel_time,coef,se,ci_lo,ci_hi
-4,-0.0570066252889644,0.0335127781168252,-0.12497368954388652,0.01096043896595772
-3,-0.014218522383075185,0.013971119074086507,-0.04255326516421358,0.014116220398063208
-2,-0.004373942958475203,0.007497479869881187,-0.019579536905052927,0.010831650988102522
-1,0.0,0.0,0.0,0.0
0,0.012889760685040056,0.006093926432024874,0.0005307050458342073,0.025248816324245905
1,0.02606709115075888,0.008960658226559589,0.007894033956637257,0.044240148344880506
2,0.04378337232740848,0.012017152240779,0.01941145795901581,0.06815528669580115
3,0.0541291012702149,0.014004874394465867,0.02572589952631395,0.08253230301411585
4,0.07193740198786899,0.016056991486466107,0.03937231388037291,0.10450249009536508
5,0.0846125234080167,0.01706679984070839,0.049999449035141905,0.11922559778089149
6,0.09635893120038556,0.01807963350775382,0.0596917349433849,0.13302612745738623
7,0.10898491542914719,0.018783881797584234,0.07088943744034072,0.14708039341795365
8,0.1195127952089662,0.019627767787777372,0.07970583710593758,0.15931975331199483
9,0.1285592898698046,0.020568647121837494,0.08684414003372218,0.17027443970588704
10,0.1472199805096489,0.021727559742998885,0.10315444693892853,0.19128551408036928
