rel_time,coef,se,ci_lo,ci_hi
-4,-0.032994970052179544,0.0114782799818064,-0.0562740008248551,-0.00971593927950399
-3,-0.014026648544424746,0.004552957665178277,-0.02326047467189077,-0.004792822416958723
-2,-0.006669243443434627,0.002942080811167808,-0.012636059886963756,-0.0007024269999054977
-1,0.0,0.0,0.0,0.0
0,0.008312310070011835,0.002894726509225291,0.0024415326021729406,0.01418308753785073
1,0.020369818687244384,0.0052222860713103045,0.00977853163461619,0.03096110573987258
2,0.03493710502282216,0.008302542614186835,0.01809876815410529,0.05177544189153903
3,0.04419517533471207,0.010311897043638217,0.023281678801781353,0.06510867186764278
4,0.05837363822429119,0.013211193906759474,0.031580095116202814,0.08516718133237956
5,0.06941669266457828,0.015067326441712284,0.03885873829732748,0.0999746470318291
6,0.07981111545460769,0.016816105186708487,0.04570647340558796,0.11391575750362741
7,0.09090613481999285,0.01841493240178284,0.05355892088747655,0.12825334875250916
8,0.09982974866318424,0.020034488130742066,0.05919792347251221,0.14046157385385627
9,0.10732989496299536,0.021642591011906884,0.06343668596607359,0.15122310395991712
10,0.12309332790464463,0.0248899983294795,0.07261407160821381,0.17357258420107544
