event_time,estimate,se
-4,0.013727326066367111,0.03163631697176921
-3,0.04398005732396608,0.03788369664536269
-2,0.0063984856046436734,0.031823398443986725
-1,0.0,0.0
0,-0.039136231879315614,0.016481043902213798
1,-0.07894844440080052,0.023154771091130483
2,-0.11349415134787849,0.03542252548851498
3,-0.11943212833064255,0.04087010085031567
4,-0.1603444407392679,0.04113859143531106
5,-0.1811143134739489,0.0458869669892367
6,-0.19698461592128594,0.05137701185121586
7,-0.21665418162866398,0.05712843133469697
8,-0.23603622188810747,0.06375024602659476
9,-0.2524588741371612,0.06758427119207475
10,-0.3237162517487388,0.06136946717376698
